"Color Name";"Color Number";"Hex";"RGB"
"HKS 1 K";"1-K";"#F8D66A";"rgb(248, 214, 106)"
"HKS 2 K";"2-K";"#F2D400";"rgb(242, 212, 0)"
"HKS 3 K";"3-K";"#FEDA00";"rgb(254, 218, 0)"
"HKS 4 K";"4-K";"#FFC100";"rgb(255, 193, 0)"
"HKS 5 K";"5-K";"#FFB600";"rgb(255, 182, 0)"
"HKS 6 K";"6-K";"#FF8C00";"rgb(255, 140, 0)"
"HKS 7 K";"7-K";"#FF6B00";"rgb(255, 107, 0)"
"HKS 8 K";"8-K";"#FF5D02";"rgb(255, 93, 2)"
"HKS 10 K";"10-K";"#F94711";"rgb(249, 71, 17)"
"HKS 11 K";"11-K";"#FF916E";"rgb(255, 145, 110)"
"HKS 12 K";"12-K";"#ED3422";"rgb(237, 52, 34)"
"HKS 13 K";"13-K";"#EF181E";"rgb(239, 24, 30)"
"HKS 14 K";"14-K";"#DF252B";"rgb(223, 37, 43)"
"HKS 15 K";"15-K";"#C90230";"rgb(201, 2, 48)"
"HKS 16 K";"16-K";"#A02031";"rgb(160, 32, 49)"
"HKS 17 K";"17-K";"#9F1438";"rgb(159, 20, 56)"
"HKS 18 K";"18-K";"#701A32";"rgb(112, 26, 50)"
"HKS 21 K";"21-K";"#FD778F";"rgb(253, 119, 143)"
"HKS 22 K";"22-K";"#F43133";"rgb(244, 49, 51)"
"HKS 23 K";"23-K";"#E1023B";"rgb(225, 2, 59)"
"HKS 24 K";"24-K";"#C2154C";"rgb(194, 21, 76)"
"HKS 25 K";"25-K";"#CF004F";"rgb(207, 0, 79)"
"HKS 26 K";"26-K";"#B90065";"rgb(185, 0, 101)"
"HKS 27 K";"27-K";"#D9007F";"rgb(217, 0, 127)"
"HKS 28 K";"28-K";"#B1004F";"rgb(177, 0, 79)"
"HKS 29 K";"29-K";"#8F1980";"rgb(143, 25, 128)"
"HKS 31 K";"31-K";"#C00079";"rgb(192, 0, 121)"
"HKS 32 K";"32-K";"#C0005F";"rgb(192, 0, 95)"
"HKS 33 K";"33-K";"#A400A5";"rgb(164, 0, 165)"
"HKS 34 K";"34-K";"#6B278C";"rgb(107, 39, 140)"
"HKS 35 K";"35-K";"#443188";"rgb(68, 49, 136)"
"HKS 36 K";"36-K";"#58278C";"rgb(88, 39, 140)"
"HKS 37 K";"37-K";"#4F2778";"rgb(79, 39, 120)"
"HKS 38 K";"38-K";"#122E45";"rgb(18, 46, 69)"
"HKS 39 K";"39-K";"#0059BC";"rgb(0, 89, 188)"
"HKS 40 K";"40-K";"#0081B1";"rgb(0, 129, 177)"
"HKS 41 K";"41-K";"#1A3553";"rgb(26, 53, 83)"
"HKS 42 K";"42-K";"#00379A";"rgb(0, 55, 154)"
"HKS 43 K";"43-K";"#0033BB";"rgb(0, 51, 187)"
"HKS 44 K";"44-K";"#0055AA";"rgb(0, 85, 170)"
"HKS 45 K";"45-K";"#454C99";"rgb(69, 76, 153)"
"HKS 46 K";"46-K";"#0077A9";"rgb(0, 119, 169)"
"HKS 47 K";"47-K";"#0081CE";"rgb(0, 129, 206)"
"HKS 48 K";"48-K";"#0086BE";"rgb(0, 134, 190)"
"HKS 49 K";"49-K";"#0073B1";"rgb(0, 115, 177)"
"HKS 50 K";"50-K";"#00B2DC";"rgb(0, 178, 220)"
"HKS 51 K";"51-K";"#00929D";"rgb(0, 146, 157)"
"HKS 52 K";"52-K";"#008578";"rgb(0, 133, 120)"
"HKS 53 K";"53-K";"#00B28F";"rgb(0, 178, 143)"
"HKS 54 K";"54-K";"#00834D";"rgb(0, 131, 77)"
"HKS 55 K";"55-K";"#007151";"rgb(0, 113, 81)"
"HKS 56 K";"56-K";"#005A4C";"rgb(0, 90, 76)"
"HKS 57 K";"57-K";"#007A3B";"rgb(0, 122, 59)"
"HKS 58 K";"58-K";"#295B34";"rgb(41, 91, 52)"
"HKS 59 K";"59-K";"#007577";"rgb(0, 117, 119)"
"HKS 60 K";"60-K";"#008600";"rgb(0, 134, 0)"
"HKS 61 K";"61-K";"#254D2A";"rgb(37, 77, 42)"
"HKS 62 K";"62-K";"#5A5B1D";"rgb(90, 91, 29)"
"HKS 63 K";"63-K";"#356B22";"rgb(53, 107, 34)"
"HKS 64 K";"64-K";"#009020";"rgb(0, 144, 32)"
"HKS 65 K";"65-K";"#00A500";"rgb(0, 165, 0)"
"HKS 66 K";"66-K";"#68B500";"rgb(104, 181, 0)"
"HKS 67 K";"67-K";"#5CBD00";"rgb(92, 189, 0)"
"HKS 68 K";"68-K";"#D4B700";"rgb(212, 183, 0)"
"HKS 69 K";"69-K";"#D6CB00";"rgb(214, 203, 0)"
"HKS 71 K";"71-K";"#DD9728";"rgb(221, 151, 40)"
"HKS 72 K";"72-K";"#D48105";"rgb(212, 129, 5)"
"HKS 73 K";"73-K";"#B0762F";"rgb(176, 118, 47)"
"HKS 74 K";"74-K";"#8B5F2A";"rgb(139, 95, 42)"
"HKS 75 K";"75-K";"#765E28";"rgb(118, 94, 40)"
"HKS 76 K";"76-K";"#533D2C";"rgb(83, 61, 44)"
"HKS 77 K";"77-K";"#5B3928";"rgb(91, 57, 40)"
"HKS 78 K";"78-K";"#743928";"rgb(116, 57, 40)"
"HKS 81 K";"81-K";"#C25526";"rgb(194, 85, 38)"
"HKS 82 K";"82-K";"#9E3D21";"rgb(158, 61, 33)"
"HKS 83 K";"83-K";"#78382F";"rgb(120, 56, 47)"
"HKS 84 K";"84-K";"#63322E";"rgb(99, 50, 46)"
"HKS 88 K";"88-K";"#221F1D";"rgb(34, 31, 29)"
"HKS 89 K";"89-K";"#A79B89";"rgb(167, 155, 137)"
"HKS 90 K";"90-K";"#3A2F2F";"rgb(58, 47, 47)"
"HKS 91 K";"91-K";"#99A19B";"rgb(153, 161, 155)"
"HKS 92 K";"92-K";"#696E6E";"rgb(105, 110, 110)"
"HKS 93 K";"93-K";"#495057";"rgb(73, 80, 87)"
"HKS 95 K";"95-K";"#929188";"rgb(146, 145, 136)"
"HKS 96 K";"96-K";"#76766F";"rgb(118, 118, 111)"
"HKS 97 K";"97-K";"#343831";"rgb(52, 56, 49)"
"HKS 98 K";"98-K";"#856945";"rgb(133, 105, 69)"
"HKS 99 K";"99-K";"#989898";"rgb(152, 152, 152)"
"HKS 1 N";"1-N";"#FFDC68";"rgb(255, 220, 104)"
"HKS 2 N";"2-N";"#F9DC13";"rgb(249, 220, 19)"
"HKS 3 N";"3-N";"#FFD800";"rgb(255, 216, 0)"
"HKS 4 N";"4-N";"#FFC900";"rgb(255, 201, 0)"
"HKS 5 N";"5-N";"#FFBC06";"rgb(255, 188, 6)"
"HKS 6 N";"6-N";"#FF9E1C";"rgb(255, 158, 28)"
"HKS 7 N";"7-N";"#FF7D21";"rgb(255, 125, 33)"
"HKS 8 N";"8-N";"#FF6B2B";"rgb(255, 107, 43)"
"HKS 10 N";"10-N";"#F6502F";"rgb(246, 80, 47)"
"HKS 11 N";"11-N";"#FF9879";"rgb(255, 152, 121)"
"HKS 12 N";"12-N";"#EC4E3B";"rgb(236, 78, 59)"
"HKS 13 N";"13-N";"#ED3A40";"rgb(237, 58, 64)"
"HKS 14 N";"14-N";"#E13F41";"rgb(225, 63, 65)"
"HKS 15 N";"15-N";"#D53049";"rgb(213, 48, 73)"
"HKS 16 N";"16-N";"#AD3A45";"rgb(173, 58, 69)"
"HKS 17 N";"17-N";"#A93B50";"rgb(169, 59, 80)"
