"Color Name";"Color Number";"Hex";"RGB"
"Green Smoke";"47";"#737C70";"rgb(115, 124, 112)"
"Studio Green";"93";"#464C49";"rgb(70, 76, 73)"
"Churlish Green";"251";"#C8BD83";"rgb(200, 189, 131)"
"Yeabridge Green";"287";"#919F70";"rgb(145, 159, 112)"
"Breakfast Room Green";"81";"#94A68A";"rgb(148, 166, 138)"
"Calke Green";"34";"#768769";"rgb(118, 135, 105)"
"Bancha";"298";"#686A47";"rgb(104, 106, 71)"
"Arsenic";"214";"#84B59C";"rgb(132, 181, 156)"
"Vert de Terre";"234";"#BABBA5";"rgb(186, 187, 165)"
"Lichen";"19";"#A1A189";"rgb(161, 161, 137)"
"Oval Room Blue";"85";"#8B9D9B";"rgb(139, 157, 155)"
"Stone Blue";"86";"#7997A1";"rgb(121, 151, 161)"
"De Nimes";"299";"#6A7C80";"rgb(106, 124, 128)"
"Inchyra Blue";"289";"#586768";"rgb(88, 103, 104)"
"Pavilion Blue";"252";"#E5E7DC";"rgb(229, 231, 220)"
"Pale Powder";"204";"#D9DCD2";"rgb(217, 220, 210)"
"Teresa's Green";"236";"#C0CDC2";"rgb(192, 205, 194)"
"Green Blue";"84";"#ADBDB2";"rgb(173, 189, 178)"
"Dix Blue";"82";"#99B0AB";"rgb(153, 176, 171)"
"Vardo";"288";"#427E83";"rgb(66, 126, 131)"
"Borrowed Light";"235";"#D5DBDB";"rgb(213, 219, 219)"
"Skylight";"205";"#CCD0CD";"rgb(204, 208, 205)"
"Light Blue";"22";"#B8BCB5";"rgb(184, 188, 181)"
"Parma Gray";"27";"#B2BFC5";"rgb(178, 191, 197)"
"Lulworth Blue";"89";"#A1B8CA";"rgb(161, 184, 202)"
"Cook's Blue";"237";"#6A90B4";"rgb(106, 144, 180)"
"Cabbage White";"269";"#E8EEEA";"rgb(232, 238, 234)"
"Blue Ground";"210";"#A1C5C8";"rgb(161, 197, 200)"
"St Giles Blue";"280";"#599EC4";"rgb(89, 158, 196)"
"Pitch Blue";"220";"#636E8F";"rgb(99, 110, 143)"
"Stiffkey Blue";"281";"#4D5B6A";"rgb(77, 91, 106)"
"Hague Blue";"30";"#3D4E57";"rgb(61, 78, 87)"
"Mahogany";"36";"#534644";"rgb(83, 70, 68)"
"Tanner's Brown";"255";"#4D4746";"rgb(77, 71, 70)"
"Down Pipe";"26";"#626664";"rgb(98, 102, 100)"
"Railings";"31";"#45484B";"rgb(69, 72, 75)"
"Off-Black";"57";"#444546";"rgb(68, 69, 70)"
"Pitch Black";"256";"#3B3938";"rgb(59, 57, 56)"
