"Color Name";"Color Number";"Hex";"RGB"
"Schwarz";"502-M";"#2E2F31";"rgb(46, 47, 49)"
"Silber";"546-M";"#9B9D9E";"rgb(155, 157, 158)"
"Gold";"547-M";"#958457";"rgb(149, 132, 87)"
"Elfenbein";"542-M";"#E7D2B8";"rgb(231, 210, 184)"
"Beige";"543-M";"#DFC697";"rgb(223, 198, 151)"
"Lichtbraun";"549-M";"#AE8C63";"rgb(174, 140, 99)"
"Braun";"507-M";"#4C3A35";"rgb(76, 58, 53)"
"Nussbraun";"548-M";"#B05F36";"rgb(176, 95, 54)"
"Primrose Yellow";"707";"#F2DD00";"rgb(242, 221, 0)"
"Bright Yellow";"739";"#F6C400";"rgb(246, 196, 0)"
"Sunflower Yellow";"706";"#FEB700";"rgb(254, 183, 0)"
"Sun Yellow";"706-01";"#FFB600";"rgb(255, 182, 0)"
"Signal Yellow";"704";"#F2A900";"rgb(242, 169, 0)"
"Gold Yellow";"710";"#FDA600";"rgb(253, 166, 0)"
"Saffron";"764";"#FA9D00";"rgb(250, 157, 0)"
"Orange Yellow";"760";"#FCAB00";"rgb(252, 171, 0)"
"Light Orange";"722";"#EA6000";"rgb(234, 96, 0)"
"Orange";"705";"#E75F00";"rgb(231, 95, 0)"
"Bright Orange";"738";"#E65301";"rgb(230, 83, 1)"
"Deep Red";"743";"#DC3C06";"rgb(220, 60, 6)"
"Tomato Red";"748";"#D73116";"rgb(215, 49, 22)"
"Bright Red";"737";"#CF2502";"rgb(207, 37, 2)"
"Orange Red";"769";"#D42F04";"rgb(212, 47, 4)"
"Medium Red";"726";"#C21F12";"rgb(194, 31, 18)"
"Blood Red";"765";"#C61112";"rgb(198, 17, 18)"
"Cardinal Red";"749";"#C32615";"rgb(195, 38, 21)"
"Regal Red";"763";"#C2222E";"rgb(194, 34, 46)"
"Crimson Red";"749-01";"#B8081A";"rgb(184, 8, 26)"
"Cherry Red";"703";"#AB151D";"rgb(171, 21, 29)"
"Lipstick Red";"771";"#B00919";"rgb(176, 9, 25)"
"Apple Red";"750";"#A20011";"rgb(162, 0, 17)"
"Red";"770";"#A21B16";"rgb(162, 27, 22)"
"Dark Red";"767";"#861522";"rgb(134, 21, 34)"
"Wine Red";"778";"#7F2026";"rgb(127, 32, 38)"
"Purple Red";"780";"#61111C";"rgb(97, 17, 28)"
"Burgundy Red";"702";"#67182A";"rgb(103, 24, 42)"
"Bordeaux";"779";"#610F33";"rgb(97, 15, 51)"
"Pink";"716";"#EE91BC";"rgb(238, 145, 188)"
"Old Pink";"799";"#EC828D";"rgb(236, 130, 141)"
"Magenta";"774";"#D86289";"rgb(216, 98, 137)"
