"Color Name";"Color Number";"Hex";"RGB"
"Terracotta";"VS-9228";"#B53B26";"rgb(181, 59, 38)"
"Coral Red";"VS-9770";"#AA5842";"rgb(170, 88, 66)"
"Berry Rouge";"VS-9701";"#E36E5A";"rgb(227, 110, 90)"
"Clay";"VS-9880";"#E27A53";"rgb(226, 122, 83)"
"Tasty Tan";"VS-9201";"#E4A467";"rgb(228, 164, 103)"
"Lightning Green";"VS-9109";"#C7DF89";"rgb(199, 223, 137)"
"Green Peace";"VS-9505";"#8AC867";"rgb(138, 200, 103)"
"Temptations";"VS-9503";"#A3CD39";"rgb(163, 205, 57)"
"Green Grass";"VS-9552";"#53995A";"rgb(83, 153, 90)"
"Blue Royale";"VS-9550";"#243F90";"rgb(36, 63, 144)"
"Blue Sea";"VS-9451";"#2D61AD";"rgb(45, 97, 173)"
"Blue Wings";"VS-9402";"#8AB1C2";"rgb(138, 177, 194)"
"Tinge Grey";"VS-9117";"#E2E2E2";"rgb(226, 226, 226)"
"Smoky Gray";"VS-9305";"#95958D";"rgb(149, 149, 141)"
"Natural Gray";"VS-9332";"#878787";"rgb(135, 135, 135)"
"Seal of Grey";"VS-9301";"#575757";"rgb(87, 87, 87)"
"Ashton Grey";"VS-9303";"#66665A";"rgb(102, 102, 90)"
