"Color Name";"Color Number";"Hex";"RGB"
"Clay .02";"Clay-02";"#CF8744";"rgb(207, 135, 68)"
"Clay .03";"Clay-03";"#A16941";"rgb(161, 105, 65)"
"Create .02";"Create-02";"#FF963A";"rgb(255, 150, 58)"
"Petal .01";"Petal-01";"#DF892A";"rgb(223, 137, 42)"
"Wood .01";"Wood-01";"#C68736";"rgb(198, 135, 54)"
"Wood .02";"Wood-02";"#B2683A";"rgb(178, 104, 58)"
"Create .03";"Create-03";"#C27136";"rgb(194, 113, 54)"
"Clay .04";"Clay-04";"#8C4D35";"rgb(140, 77, 53)"
"Clay .05";"Clay-05";"#752B22";"rgb(117, 43, 34)"
"Clay .07";"Clay-07";"#C27355";"rgb(194, 115, 85)"
"Petal .06";"Petal-06";"#BA4133";"rgb(186, 65, 51)"
"Create .04";"Create-04";"#B8352E";"rgb(184, 53, 46)"
"Create .05";"Create-05";"#942A35";"rgb(148, 42, 53)"
"Wood .03";"Wood-03";"#7C2A1C";"rgb(124, 42, 28)"
"Wood .04";"Wood-04";"#67272A";"rgb(103, 39, 42)"
"Petal .04";"Petal-04";"#AA3E71";"rgb(170, 62, 113)"
"Petal .03";"Petal-03";"#F1A1A6";"rgb(241, 161, 166)"
"Sprout .06";"Sprout-06";"#F7DDE0";"rgb(247, 221, 224)"
"Sprout .07";"Sprout-07";"#E3DBF2";"rgb(227, 219, 242)"
"Air .07";"Air-07";"#CEC4C5";"rgb(206, 196, 197)"
"Wool .04";"Wool-04";"#8B8A8C";"rgb(139, 138, 140)"
"Wood .05";"Wood-05";"#6F595D";"rgb(111, 89, 93)"
"Create .06";"Create-06";"#5E3D5A";"rgb(94, 61, 90)"
"Petal .07";"Petal-07";"#652F53";"rgb(101, 47, 83)"
"Stone .01";"Stone-01";"#E1D6BB";"rgb(225, 214, 187)"
"Stone .02";"Stone-02";"#C1A878";"rgb(193, 168, 120)"
"Metal .01";"Metal-01";"#CBC6B1";"rgb(203, 198, 177)"
"Metal .02";"Metal-02";"#BDB091";"rgb(189, 176, 145)"
"Stone .03";"Stone-03";"#A89D7E";"rgb(168, 157, 126)"
"Stone .04";"Stone-04";"#C9CABD";"rgb(201, 202, 189)"
"Metal .03";"Metal-03";"#B5B8B1";"rgb(181, 184, 177)"
"Metal .04";"Metal-04";"#9FA198";"rgb(159, 161, 152)"
"Stone .05";"Stone-05";"#AAA593";"rgb(170, 165, 147)"
"Stone .06";"Stone-06";"#746D5A";"rgb(116, 109, 90)"
"Stone .07";"Stone-07";"#848A86";"rgb(132, 138, 134)"
"Metal .05";"Metal-05";"#535654";"rgb(83, 86, 84)"
"Metal .06";"Metal-06";"#3F4647";"rgb(63, 70, 71)"
"Nourish .01";"Nourish-01";"#D5D3BF";"rgb(213, 211, 191)"
"Nourish .02";"Nourish-02";"#C5C2AF";"rgb(197, 194, 175)"
"Nourish .03";"Nourish-03";"#A5A392";"rgb(165, 163, 146)"
"Nourish .04";"Nourish-04";"#A3977F";"rgb(163, 151, 127)"
"Clay .06";"Clay-06";"#675544";"rgb(103, 85, 68)"
"Nourish .05";"Nourish-05";"#53453C";"rgb(83, 69, 60)"
"Wood .06";"Wood-06";"#312F24";"rgb(49, 47, 36)"
"Nourish .06";"Nourish-06";"#313536";"rgb(49, 53, 54)"
