"Color Name";"Color Number";"Hex";"RGB"
"Almond Butter";"3001-4A";"#F1C18D";"rgb(241, 193, 141)"
"Hayloft";"2006-2A";"#FCC484";"rgb(252, 196, 132)"
"Apricot Butter";"2005-2A";"#FFCA8C";"rgb(255, 202, 140)"
"Orange Toffee";"2007-1C";"#FDBC6C";"rgb(253, 188, 108)"
"Cantaloupe Smile";"2007-2A";"#FFC479";"rgb(255, 196, 121)"
"Whipped Apricot";"2007-2B";"#FFD599";"rgb(255, 213, 153)"
"Peach Tea";"3002-3C";"#FDC572";"rgb(253, 197, 114)"
"Peach Frenzy";"2004-2A";"#FBB484";"rgb(251, 180, 132)"
"Tangerine Cream";"2007-3C";"#FAB67F";"rgb(250, 182, 127)"
"Orange Ice";"2005-1C";"#FFB571";"rgb(255, 181, 113)"
"Honey Tea";"2008-4A";"#EEB47A";"rgb(238, 180, 122)"
"Orange Cream";"2006-1C";"#F4B779";"rgb(244, 183, 121)"
"Pumpkin Butter";"2007-1B";"#FEAF50";"rgb(254, 175, 80)"
"Spun Gold";"3001-5C";"#EBB880";"rgb(235, 184, 128)"
"Spring Squash";"2008-1B";"#FEB24F";"rgb(254, 178, 79)"
"Morning Sunrise";"3011-2";"#FFB234";"rgb(255, 178, 52)"
"Afternoon Tea";"3002-3B";"#F4B65B";"rgb(244, 182, 91)"
"Ripe Melon";"2002-1C";"#F8A47E";"rgb(248, 164, 126)"
"Orange Nut";"2004-1C";"#F6A370";"rgb(246, 163, 112)"
"Apricot Honey";"2006-3C";"#F1AB7F";"rgb(241, 171, 127)"
"Warm Cider";"2003-1C";"#F4AE80";"rgb(244, 174, 128)"
"Tomato Bisque";"2008-5C";"#E9AB77";"rgb(233, 171, 119)"
"Toasted Honey";"2006-1B";"#EFA861";"rgb(239, 168, 97)"
"Buttered Hazelnut";"3001-3C";"#ECB276";"rgb(236, 178, 118)"
"Sunset Glow";"3009-2";"#FFAB37";"rgb(255, 171, 55)"
"Orange Glow";"3001-1A";"#FFA900";"rgb(255, 169, 0)"
"Pirate's Treasure";"3006-5B";"#E2AE62";"rgb(226, 174, 98)"
"Pumpkin Burst";"2005-1B";"#F89E57";"rgb(248, 158, 87)"
"Orange Ochre";"2010-1";"#F39C4E";"rgb(243, 156, 78)"
"Butterscotch Sundae";"2008-3C";"#E9A871";"rgb(233, 168, 113)"
"Brioche";"3001-5B";"#E7A870";"rgb(231, 168, 112)"
"Monarch Wing";"2008-1A";"#F99F3B";"rgb(249, 159, 59)"
"Frankincense";"3002-5C";"#DAA977";"rgb(218, 169, 119)"
"Safari Sun";"3004-5B";"#DBA867";"rgb(219, 168, 103)"
"Creamy Orange";"3005-5B";"#DAAC6F";"rgb(218, 172, 111)"
"Ambitious";"3005-5C";"#D8AF77";"rgb(216, 175, 119)"
"Caramel Honey";"3003-3B";"#E3AB57";"rgb(227, 171, 87)"
"Tangerine";"2004-1B";"#F2915E";"rgb(242, 145, 94)"
"Orange Pecan";"2003-1B";"#EF9A6D";"rgb(239, 154, 109)"
"Peach Ice Cream";"2007-5C";"#DB9F7A";"rgb(219, 159, 122)"
"Brushed Orange";"2007-3B";"#F29C5E";"rgb(242, 156, 94)"
"Orange Fruit";"2011-1";"#F88F21";"rgb(248, 143, 33)"
"Toffee Cream";"3001-3B";"#DD9C62";"rgb(221, 156, 98)"
"Buttercup Squash";"2007-1A";"#F89839";"rgb(248, 152, 57)"
"Toasted Coffee";"2008-3B";"#E5A060";"rgb(229, 160, 96)"
"Roasted Chestnut";"3002-3A";"#E49B40";"rgb(228, 155, 64)"
"Golden Castle";"3004-3A";"#E3A031";"rgb(227, 160, 49)"
"Toasted Apricot";"2006-3B";"#E38F66";"rgb(227, 143, 102)"
"Laredo";"2004-5C";"#D29473";"rgb(210, 148, 115)"
"Carrot Cake";"2007-3A";"#EB8A52";"rgb(235, 138, 82)"
"Longhorn";"2007-5B";"#D6926B";"rgb(214, 146, 107)"
"Fresh Persimmons";"2009-1";"#F58E4B";"rgb(245, 142, 75)"
"Pumpkin Custard";"2005-1A";"#F38F3E";"rgb(243, 143, 62)"
"Toasted Pumpkin";"2006-1A";"#E38F43";"rgb(227, 143, 67)"
"Autumn Spice";"3003-5B";"#CD965C";"rgb(205, 150, 92)"
"Poseidon's Gold";"3004-5A";"#CE9650";"rgb(206, 150, 80)"
"Amber Wheat";"3003-3A";"#DA9A40";"rgb(218, 154, 64)"
"Autumn Glimmer";"2003-1A";"#E97F4E";"rgb(233, 127, 78)"
"Autumn Gala";"2004-1A";"#EB7B45";"rgb(235, 123, 69)"
"Patio Stone";"2008-5B";"#D28A5B";"rgb(210, 138, 91)"
"Coffee Whip";"2008-3A";"#D7884E";"rgb(215, 136, 78)"
"Canyon Sun";"3001-5A";"#C78351";"rgb(199, 131, 81)"
"Hazelnut Coffee";"3001-3A";"#D48D4F";"rgb(212, 141, 79)"
"Pronghorn";"3002-5A";"#BF8655";"rgb(191, 134, 85)"
"Fancy Suede";"3010-5";"#C2874D";"rgb(194, 135, 77)"
"Butternut Tree";"3002-5B";"#C8935B";"rgb(200, 147, 91)"
"Bugle Call";"3006-5A";"#CF954A";"rgb(207, 149, 74)"
