"Color Name";"Color Number";"Hex";"RGB"
"Hot August";"LC130-02";"#C26F45";"rgb(194, 111, 69)"
"Orange Crush";"LB200-02";"#ECAD88";"rgb(236, 173, 136)"
"Spiced Orange";"LC130-01";"#E0976B";"rgb(224, 151, 107)"
"Pom Pom Orange";"LC110-01";"#D48959";"rgb(212, 137, 89)"
"Peruvian Orange";"LB280-01";"#C8754F";"rgb(200, 117, 79)"
"Vanilla Chai";"LC180-01";"#F5E6D9";"rgb(245, 230, 217)"
"Brandy Cream";"LB240-01";"#D1AF9B";"rgb(209, 175, 155)"
"Spiced Apricot";"LB230-02";"#BB8E76";"rgb(187, 142, 118)"
"Burnt Sienna";"LC270-01";"#A57D69";"rgb(165, 125, 105)"
"Summer Essence";"LC150-01";"#F8D6BD";"rgb(248, 214, 189)"
"Cantaloupe Juice";"LB200-01";"#EFC5A8";"rgb(239, 197, 168)"
"Spiced Nectarine";"LC140-02";"#D29D7A";"rgb(210, 157, 122)"
"Glazed Carrot";"LC110-02";"#B26F48";"rgb(178, 111, 72)"
"Wassail";"LB220-01";"#E0BFA8";"rgb(224, 191, 168)"
"Cinnaswirl";"LC260-01";"#C89C7F";"rgb(200, 156, 127)"
"Cappuccino Spice";"LC260-02";"#B08971";"rgb(176, 137, 113)"
"Ranch Home";"LC270-02";"#9B6D50";"rgb(155, 109, 80)"
"Vintage Thread";"LC170-01";"#FCE3CF";"rgb(252, 227, 207)"
"Desert Vista";"LC140-01";"#E9AF81";"rgb(233, 175, 129)"
"Horizon Sun";"LC120-01";"#D98A4E";"rgb(217, 138, 78)"
"Nutmeg Spice";"LC120-02";"#BD7C4E";"rgb(189, 124, 78)"
"Opaline";"LC190-02";"#F6E4D0";"rgb(246, 228, 208)"
"Discreet";"LC200-01";"#F9DCBE";"rgb(249, 220, 190)"
"Something Sweet";"LC200-02";"#F6C9A1";"rgb(246, 201, 161)"
"Autumn Spice";"LD100-01";"#A66B35";"rgb(166, 107, 53)"
"Dusty Blush";"LC170-02";"#EAD3BE";"rgb(234, 211, 190)"
"Ripe Apricot";"LC210-01";"#E9CDB4";"rgb(233, 205, 180)"
"Summer Melon";"LC210-02";"#E0BB9C";"rgb(224, 187, 156)"
"Brown Bag";"LC280-01";"#A47A5A";"rgb(164, 122, 90)"
"Amber Light";"LD180-01";"#FADAB2";"rgb(250, 218, 178)"
"Citrus Spice";"LD180-02";"#F0C797";"rgb(240, 199, 151)"
"Squeaky Toy";"LD130-02";"#DCA15F";"rgb(220, 161, 95)"
"Habanero";"LH230";"#DC974D";"rgb(220, 151, 77)"
"Bagel Dough";"LD170-01";"#EED3B2";"rgb(238, 211, 178)"
"Antiquarian Brass";"LD130-01";"#E0B486";"rgb(224, 180, 134)"
"Golden Sunrise";"LD120-01";"#C08A4F";"rgb(192, 138, 79)"
"Flea Market";"LD120-02";"#9A6A35";"rgb(154, 106, 53)"
"Soft Palm";"LC160-01";"#EBDCCC";"rgb(235, 220, 204)"
"Lion Cub";"LD170-02";"#DFC09E";"rgb(223, 192, 158)"
"Raw Wood";"LC240-01";"#CAA380";"rgb(202, 163, 128)"
"Ancient Root";"LD100-02";"#835E3B";"rgb(131, 94, 59)"
"Yellow Frosting";"LE240-01";"#F5E3B4";"rgb(245, 227, 180)"
"Glory Yellow";"LE250-01";"#FFDF85";"rgb(255, 223, 133)"
"Wake Up";"LH260";"#FFD754";"rgb(255, 215, 84)"
"Extrovert";"LH250";"#FECA43";"rgb(254, 202, 67)"
"Moonbeam";"LE210-01";"#F8F1CE";"rgb(248, 241, 206)"
"Yellow Taffy";"LE210-02";"#F8EFC0";"rgb(248, 239, 192)"
"Fresh Citrus";"LE220-02";"#FAD992";"rgb(250, 217, 146)"
"Lemonette";"LE250-02";"#FBD473";"rgb(251, 212, 115)"
"Bartlett";"LE230-01";"#F3E3B1";"rgb(243, 227, 177)"
"Afternoon Tea";"LE230-02";"#EDD595";"rgb(237, 213, 149)"
"Chilled Chardonnay";"LE240-02";"#E3CC84";"rgb(227, 204, 132)"
"Ripe Olives";"LE270-02";"#C0A569";"rgb(192, 165, 105)"
"Cream Gold";"LE180-02";"#FDE9B4";"rgb(253, 233, 180)"
"Organic Ingredient";"LE270-01";"#E6CB8F";"rgb(230, 203, 143)"
"Heart Of Gold";"LE110-01";"#D5A95F";"rgb(213, 169, 95)"
"Apple Butter";"LE290-02";"#A9864E";"rgb(169, 134, 78)"
"Sticky Note";"LE220-01";"#FBEFBF";"rgb(251, 239, 191)"
"Yellow Duckling";"LE150-01";"#FED98E";"rgb(254, 217, 142)"
"Equator";"LE150-02";"#EBBA67";"rgb(235, 186, 103)"
"October Leaf";"LE290-01";"#BF8D35";"rgb(191, 141, 53)"
"Drop Of Gold";"LE160-01";"#F3DBAC";"rgb(243, 219, 172)"
"Honey Bee";"LE130-01";"#EAC281";"rgb(234, 194, 129)"
"Brass Charm";"LE130-02";"#D4AB6A";"rgb(212, 171, 106)"
"Cairo Gold";"LE110-02";"#C09658";"rgb(192, 150, 88)"
"Lion'S Roar";"LE170-01";"#F6E1BC";"rgb(246, 225, 188)"
"Goldilocks";"LE170-02";"#EAD2AA";"rgb(234, 210, 170)"
"Autumn Equinox";"LE120-01";"#E3C293";"rgb(227, 194, 147)"
"Aged Amber";"LD260-02";"#DFB575";"rgb(223, 181, 117)"
"Light Shine";"LE180-01";"#FBEDC8";"rgb(251, 237, 200)"
"Crescent Moon";"LE190-02";"#FEE9BE";"rgb(254, 233, 190)"
"Light Honey";"LD220-01";"#FDE2B4";"rgb(253, 226, 180)"
"Fire Glow";"LD220-02";"#F9D9A2";"rgb(249, 217, 162)"
"Magnolia";"LD230-01";"#FBE5BB";"rgb(251, 229, 187)"
"Pineapple Citrus";"LE140-01";"#F3CF93";"rgb(243, 207, 147)"
"Golden Corn";"LE140-02";"#F2C784";"rgb(242, 199, 132)"
"Halo Gold";"LD250-02";"#FCC266";"rgb(252, 194, 102)"
"Walnut Cream";"LD200-02";"#F7E3C4";"rgb(247, 227, 196)"
"Fennel Pollen";"LD230-02";"#F7CC90";"rgb(247, 204, 144)"
"Banana Shake";"LD260-01";"#F0C990";"rgb(240, 201, 144)"
"Aztec Yellow";"LD290-01";"#CA9D62";"rgb(202, 157, 98)"
"Yards Of Muslin";"LD210-01";"#EDDDC4";"rgb(237, 221, 196)"
"Eggnog Latte";"LD240-01";"#E6CDAB";"rgb(230, 205, 171)"
"Roasted Peanut";"LD240-02";"#DDB989";"rgb(221, 185, 137)"
"Fall Leaf";"LD290-02";"#B48347";"rgb(180, 131, 71)"
"Glaze Gold";"LD250-01";"#FED391";"rgb(254, 211, 145)"
"Jolly";"LD270-01";"#F7C990";"rgb(247, 201, 144)"
"Cookie Crumbs";"LD140-01";"#DEBA89";"rgb(222, 186, 137)"
"Banana Nut";"LD140-02";"#CFA974";"rgb(207, 169, 116)"
"Lace Gloves";"LD190-02";"#F6DFC2";"rgb(246, 223, 194)"
"Cottage Yellow";"LD150-01";"#F3CFA1";"rgb(243, 207, 161)"
"Pommery Mustard";"LD150-02";"#E7B576";"rgb(231, 181, 118)"
"Spaghetti Squash";"LD270-02";"#E3AD63";"rgb(227, 173, 99)"
"August Morning";"LD160-01";"#F8C890";"rgb(248, 200, 144)"
"Butterscotch Sauce";"LD160-02";"#E7B479";"rgb(231, 180, 121)"
"Dingo";"LD280-01";"#D79F5E";"rgb(215, 159, 94)"
"Vintage Find";"LD280-02";"#CD9147";"rgb(205, 145, 71)"
"Pale Gold";"LK240";"#DCD0B8";"rgb(220, 208, 184)"
"Pale Ale";"LE160-02";"#D4BC8E";"rgb(212, 188, 142)"
"Delicate Ballerina";"LE200-02";"#EFEADA";"rgb(239, 234, 218)"
"Autumn Fern";"LF220-02";"#E8E1A1";"rgb(232, 225, 161)"
"Tangy Flavor";"LF160-02";"#D5BD77";"rgb(213, 189, 119)"
"Summer Chartreuse";"LF140-01";"#C9AD5F";"rgb(201, 173, 95)"
"Pampas";"LE260-01";"#DDD7AE";"rgb(221, 215, 174)"
"Season'S Change";"LF150-01";"#CDC196";"rgb(205, 193, 150)"
"Cumin Seed";"LF150-02";"#BCB186";"rgb(188, 177, 134)"
"Fresh Avocado";"LF140-02";"#BAA24E";"rgb(186, 162, 78)"
"Peeled Cucumber";"LF180-01";"#E2DAB2";"rgb(226, 218, 178)"
"Zucchini Garden";"LF130-01";"#B3A477";"rgb(179, 164, 119)"
